# Gross non-rental income percentile (lower edge), gross non-rental income percentile (upper edge), BTL probability
0.0, 0.01, 0.12380952381
0.01, 0.02, 0.0285714285714
0.02, 0.03, 0.0285714285714
0.03, 0.04, 0.0285714285714
0.04, 0.05, 0.0142180094787
0.05, 0.06, 0.0291262135922
0.06, 0.07, 0.0392156862745
0.07, 0.08, 0.0139534883721
0.08, 0.09, 0.020202020202
0.09, 0.1, 0.0210526315789
0.1, 0.11, 0.0239234449761
0.11, 0.12, 0.00505050505051
0.12, 0.13, 0.0153846153846
0.13, 0.14, 0.04
0.14, 0.15, 0.0228310502283
0.15, 0.16, 0.0386473429952
0.16, 0.17, 0.0276243093923
0.17, 0.18, 0.0245098039216
0.18, 0.19, 0.0275229357798
0.19, 0.2, 0.00990099009901
0.2, 0.21, 0.0552763819095
0.21, 0.22, 0.0311284046693
0.22, 0.23, 0.0179640718563
0.23, 0.24, 0.0276679841897
0.24, 0.25, 0.0242718446602
0.25, 0.26, 0.045
0.26, 0.27, 0.0314136125654
0.27, 0.28, 0.0424528301887
0.28, 0.29, 0.0532786885246
0.29, 0.3, 0.0331491712707
0.3, 0.31, 0.0368421052632
0.31, 0.32, 0.0251046025105
0.32, 0.33, 0.0405405405405
0.33, 0.34, 0.0427807486631
0.34, 0.35, 0.0553191489362
0.35, 0.36, 0.0321100917431
0.36, 0.37, 0.0386740331492
0.37, 0.38, 0.0512820512821
0.38, 0.39, 0.0529100529101
0.39, 0.4, 0.056768558952
0.4, 0.41, 0.0597014925373
0.41, 0.42, 0.063829787234
0.42, 0.43, 0.0739130434783
0.43, 0.44, 0.0689655172414
0.44, 0.45, 0.0452261306533
0.45, 0.46, 0.0762331838565
0.46, 0.47, 0.0485436893204
0.47, 0.48, 0.05
0.48, 0.49, 0.0607476635514
0.49, 0.5, 0.0552486187845
0.5, 0.51, 0.0405405405405
0.51, 0.52, 0.0720338983051
0.52, 0.53, 0.0631578947368
0.53, 0.54, 0.0798122065728
0.54, 0.55, 0.0636363636364
0.55, 0.56, 0.0878048780488
0.56, 0.57, 0.100961538462
0.57, 0.58, 0.045871559633
0.58, 0.59, 0.0871559633028
0.59, 0.6, 0.0717703349282
0.6, 0.61, 0.08
0.61, 0.62, 0.0952380952381
0.62, 0.63, 0.093137254902
0.63, 0.64, 0.0810810810811
0.64, 0.65, 0.0956937799043
0.65, 0.66, 0.0979381443299
0.66, 0.67, 0.0829694323144
0.67, 0.68, 0.0686274509804
0.68, 0.69, 0.142180094787
0.69, 0.7, 0.0772946859903
0.7, 0.71, 0.0545454545455
0.71, 0.72, 0.112244897959
0.72, 0.73, 0.0765765765766
0.73, 0.74, 0.105263157895
0.74, 0.75, 0.111111111111
0.75, 0.76, 0.0995475113122
0.76, 0.77, 0.0688073394495
0.77, 0.78, 0.144230769231
0.78, 0.79, 0.121212121212
0.79, 0.8, 0.116591928251
0.8, 0.81, 0.10243902439
0.81, 0.82, 0.085308056872
0.82, 0.83, 0.0801886792453
0.83, 0.84, 0.111650485437
0.84, 0.85, 0.10599078341
0.85, 0.86, 0.146226415094
0.86, 0.87, 0.168269230769
0.87, 0.88, 0.10396039604
0.88, 0.89, 0.191780821918
0.89, 0.9, 0.127962085308
0.9, 0.91, 0.133333333333
0.91, 0.92, 0.142857142857
0.92, 0.93, 0.155963302752
0.93, 0.94, 0.127962085308
0.94, 0.95, 0.144927536232
0.95, 0.96, 0.17619047619
0.96, 0.97, 0.139303482587
0.97, 0.98, 0.25
0.98, 0.99, 0.208333333333
0.99, 1.0, 0.173708920188
